Ticker,MMBuy,MMSell,AI1-Average,AI1-Previous,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-Previous,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-Previous,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-Previous,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC21-Previous,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-Previous,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
NL,,,8586.14,8590,26,8590,10639,126,6910,4645,8307.14,8350,9,8350,2819,300,5970,2414,6300,6300,50,8700,50,100,6500,100,7200,7200,1,7500,5483,44,7200,2597,7066.39,8000,,,0,,,0,7960,7960,150,7960,2630,50,7000,2184
NN,,,60000,60000,77,62800,485,459,60000,459,63900,63900,28,63900,88,100,58100,110,30000,30000,,,0,,,0,64205.95,64000,25,65000,63,90,61000,271,29378.31,,,,0,,,0,66000,66000,,,0,100,57100,194
NOZ,,,65000,65000,,,0,5,65000,62,68000,68000,12,95000,18,10,65000,40,43575.34,,,,0,,,0,100000,100000,9,100000,9,10,65000,55,43575.34,,,,0,,,0,100000,100000,,,0,10,65000,10
NR,,,430,430,50,439,148444,250,420,75950,419,419,2615,419,87165,1000,394,13250,600,600,10000,500,20000,,,0,458,458,378,458,210771,25000,399,67700,400,400,1300,470,1300,,,0,426.4,664,375,664,15713,10000,371,50600
NS,,,396,396,1417,396,70064,2991,375,37991,379,379,272,379,59014,40,281,882,500,500,4000,392,9594,,,0,450,450,771,450,62950,1000,401,47347,400,400,49,450,49,968,335,968,350,350,480,350,122301,500,340,10346
NST,,,2970,2970,72,2970,1414,13,2960,371,2870,2870,99,2870,467,500,2000,500,1200,1200,16,2500,66,,,0,2630.56,2350,125,2350,1634,100,1520,613,1570,1570,202,2500,202,50,1000,50,2980,2980,888,2980,1806,10,1550,75
NUT,88,,400,400,1972,400,15481,122,390,37326,439,439,835,439,7302,55,425,32357,300,300,,,0,,,0,383,383,1398,478,7329,471,383,9912,275,275,200,310,200,749,275,749,395,395,38,395,21486,5000,360,47144
NV1,135000,,175000.34,180000,17,180000,58,3,136000,213,165928.89,150000,1,210000,26,1,150000,106,93565.95,,,,0,,,0,186490.21,136000,1,210000,9,100,135000,100,93565.95,,,,0,,,0,135000,135000,2,250000,7,100,135000,100
NV2,200000,,200933.68,200000,1,208000,8,100,200000,100,220000,220000,4,275000,24,9,220000,109,130116.94,,,,0,,,0,200000,200000,100,289000,112,100,200000,100,130116.94,,,,0,,,0,220000,220000,3,220000,14,1,201000,101
O,32,,110,110,4889,110,339173,480,108,1098454,116,116,3189,116,170267,79183,107,117737,130,130,3292,130,15588,5000,100,7000,125,125,4249,125,247853,100,123,199839,137.26,140,3900,140,8100,600,125,8297,114,114,6780,114,208142,757,110,91622
OFF,,,132,132,210,132,97817,1200,113,50711,130,130,8110,130,60391,5000,90,9497,155,155,10000,130,12020,,,0,150,150,460,150,39525,2650,120,35970,130,130,,,0,1000,50,1000,128,128,1747,128,74687,10000,100,51235
OLF,,,1890,1890,,,0,60,1050,2056,3000,3000,53,3000,113,120,1050,120,949.58,,,,0,,,0,3000,3000,,,0,170,1100,664,949.58,,60,2000,60,,,0,2906.9,2800,60,4000,60,140,2800,784
OS,,,64000,64000,75,64000,75,50,51000,137,54900,54900,16,54900,41,,,0,45000,45000,,,0,,,0,60069.01,63900,29,63900,92,2,56000,374,30272.32,,,,0,,,0,65000,65000,15,65000,15,,,0
OVE,40,153,145,145,275,145,26821,30,144,30611,149,149,4314,149,38418,10,141,114576,150,150,1006,150,1006,1926,145,2546,153,153,100,153,33546,29,146,51340,151.55,153,,,0,50,110,9499,152,152,7653,152,29381,17484,149,65727
PBU,,,22755,22800,70,22800,250,,,0,22656.28,22900,269,22900,346,49,18100,60,8070.62,,,,0,10,808,10,23279.17,23200,8,23200,87,100,18000,105,8070.62,,,,0,,,0,19947.53,20000,3,20000,604,100,16000,100
PCB,,,2670,2670,978,2670,14169,5193,2600,9298,2700,2700,284,2700,4932,100,2500,3030,2300,2300,,,0,,,0,2710,2710,284,2710,4473,2973,2600,7862,802.42,,,,0,,,0,2750,2750,267,2750,3640,63,2550,1021
PDA,,,3600,3600,84,3600,1535,6,2740,321,3400,3400,669,3400,1141,20,2800,260,5000,5000,43,5000,43,50,2200,50,3625.43,3700,23,3700,423,43,2800,1332,2550,2550,354,4500,354,,,0,3500,3500,81,3500,663,50,2850,167
PE,,,13.29,13.5,74880,13.5,3148198,9057,12.5,2124354,11.2,11.2,9576,12.2,5856496,18800,11.2,2256020,12.04,12.1,5000,12.1,205000,,,0,13.2,13.2,24840,13.2,2962963,48340,11.8,2479878,10.1,10.1,5747,10.1,171509,10000,10,60000,12.6,12.6,188940,12.6,3229346,400,11.5,1737515
PFE,,,982.27,990,300,990,2067,2000,810,2294,900,900,3370,900,7012,,,0,825,825,280,825,280,,,0,937.03,1080,60,1080,710,1900,900,3999,1150,1150,270,800,270,119,500,119,933.41,850,30,929,2777,470,850,650
PFG,,,4500000,4500000,2,4500000,2,,,0,2000907.92,,,,0,,,0,2000907.92,,,,0,,,0,3690000,3690000,,,0,,,0,2000907.92,,,,0,,,0,2000907.92,,,,0,,,0
PG,,,58.3,58.3,6617,58.3,462628,480,56.1,248483,55.5,55.5,2366,55.5,148888,85,53.6,315287,57,57,666,57,10748,50000,48,50000,59.9,59.9,933,59.9,1071201,20000,56.4,884923,50,50,11077,50,71660,13000,48,13000,59.1,59.1,8680,59.1,439425,200,52.3,92327
PIB,,,1123.29,501,1,2990,29,76,501,156,1746.17,2100,20,2050,35,5,800,1356,1500,1500,53,2000,53,,,0,1271.79,1250,5,2100,5,100,150,100,549.19,,,,0,,,0,1500,1500,175,1500,191,100000,0.01,100000
PK,,,2200,2200,102,2200,335,,,0,999,999,160,999,1470,,,0,832.61,,,,0,,,0,1000,1000,2,1200,2,999,450,999,832.61,,,,0,,,0,1940,1940,58,1000,58,,,0
POW,6000,,9500,9500,180,9900,3590,124,9210,1318,9971.5,9980,157,9980,3983,10,8590,678,9500,9500,50,9500,90,,,0,10116.36,10900,437,10900,2104,1134,10000,2775,13000,13000,,,0,,,0,10800,10800,13,10800,14,10,8200,853
PPA,,,350,350,703,350,1248,56,340,11664,356.81,370,32,360,7367,846,320,3250,300,300,,,0,,,0,299.7,320,27,320,8866,,,0,220,220,,,0,990,220,990,321.57,333,7,333,1273,5314,300,5314
PSH,,,10000,10000,187,10000,2323,100,9000,100,10000,10000,29,12500,989,,,0,4013.58,,,,0,,,0,11800,11800,429,11800,1706,59,9000,888,4013.58,,32,13000,32,,,0,10000,10000,360,13600,636,69,10000,79
PSL,,,5460,5460,4,5460,4258,61,4900,3122,5400,5400,560,5400,1045,34,4600,1517,5000,5000,92,5000,92,,,0,5200,5200,80,5200,3397,12,4910,2267,5000,5000,48,4320,120,24,3000,24,5430,5430,429,5430,1132,50,4300,111
PSM,,,3125.71,3400,8,3290,4677,184,2800,1284,3290,3290,,,0,100,2750,3027,2500,2500,,,0,,,0,4361.49,4400,223,4400,751,250,3000,4583,1299.42,,35,3000,35,,,0,3093.61,3100,73,3100,846,250,2650,1059
