Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
NR,,,435.04998779296875,5517,439,107111,3000,392,70000,450,6194,450,26194,6000,392,21217,600,10000,500,20000,,,0,472,600,472,217181,20900,399,63600,400,1300,470,1300,,,0,450,9626,579,37089,500,450,63900
NS,,,416,308,416,123527,400,402,37243,379,182,379,71108,251,350,11657,500,4000,392,13594,,,0,376,70,389,72279,856,376,31442,417.44000244140625,,,0,,,0,308.57000732421875,1057,393,117095,60,309,6905
NST,,,2900,19,2900,1491,10,1480,341,2840,88,2840,578,500,2000,500,1200,16,2500,66,,,0,2350,69,2350,1578,100,1600,713,1570,202,2500,202,50,1000,50,2980,846,2980,1539,3,2000,78
NUT,88,,381,100,437,14933,93,381,36930,415,12,415,9428,2313,330,34057,300,228,450,228,,,0,439,638,439,6844,174,385,10524,275,200,300,200,639,275,639,438,22,438,20659,122,378,44929
NV1,135000,,136000,1,170000,59,9,136000,209,150000,1,210000,26,1,155000,107,93565.953125,,,0,,,0,135000,3,170000,27,100,135000,100,93565.953125,,,0,,,0,135000,2,250000,7,100,135000,100
NV2,200000,,208583.328125,1,269000,5,100,200000,100,220000,4,275000,29,7,220000,107,130116.9375,,,0,,,0,200000,100,289000,112,100,200000,100,130116.9375,,,0,,,0,220000,3,220000,14,1,201000,101
O,32,,110,674,110,268838,3044,107,83771,109,48,110,189306,478,109,112387,130,792,130,12588,5000,100,7000,129,4914,129,225067,3000,123,193519,140,3000,130,15200,600,125,8297,107,3505,107,256552,780,101,72170
OFF,,,132,1700,132,102860,1400,115,43911,135,1700,134,40856,20,92,9517,130,9300,130,11320,,,0,140,3595,140,51144,2490,120,35810,130,,,0,1000,50,1000,125,800,125,71250,10,101,46745
OLF,,,10000,,,0,500,1200,2556,2000,2959,2000,3072,500,1200,620,949.5800170898438,,,0,,,0,3000,12,3500,12,170,1100,664,949.5800170898438,60,2000,60,,,0,2900.9599609375,42,3330,102,52,2700,644
OS,,,64000,63,64000,63,50,51000,137,55873,16,59000,24,,,0,45000,,,0,,,0,63900,12,63900,75,4,57000,378,30272.3203125,,,0,,,0,65000,12,65000,12,,,0
